id,name,type,tactics,description,severity,cvss_score,cvss_vector
CVE-2019-11510,Pulse Secure VPN Vulnerability,CVE,initial-access,Arbitrary file disclosure vulnerability in Pulse Secure VPN.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1059,Command and Scripting Interpreter,TTP,execution,"Adversaries may abuse command and scripting interpreters to execute commands, scripts, or binaries.",high,,
T1562.002,Disable Security Tools,TTP,defense-evasion,Adversaries may disable or modify security tools to avoid detection.,high,,
T8474,TTP-19,TTP,discovery,Adversaries may perform malicious activity related to TTP 19.,critical,,
T7345,TTP-20,TTP,persistence,Adversaries may perform malicious activity related to TTP 20.,medium,,
T2861,TTP-21,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 21.,medium,,
CVE-2025-3374,CVE-22,CVE,privilege-escalation,Critical vulnerability in software 22 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2024-7333,CVE-23,CVE,privilege-escalation,Critical vulnerability in software 23 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-2287,CVE-24,CVE,privilege-escalation,Critical vulnerability in software 24 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-7220,CVE-25,CVE,privilege-escalation,Critical vulnerability in software 25 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T6074,TTP-26,TTP,persistence,Adversaries may perform malicious activity related to TTP 26.,critical,,
T2453,TTP-27,TTP,discovery,Adversaries may perform malicious activity related to TTP 27.,high,,
T4372,TTP-28,TTP,persistence,Adversaries may perform malicious activity related to TTP 28.,critical,,
CVE-2024-2160,CVE-29,CVE,execution,Critical vulnerability in software 29 allowing remote exploitation.,high,7.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-8208,CVE-30,CVE,initial-access,Critical vulnerability in software 30 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T5599,TTP-31,TTP,impact,Adversaries may perform malicious activity related to TTP 31.,medium,,
T1358,TTP-32,TTP,persistence,Adversaries may perform malicious activity related to TTP 32.,high,,
T9884,TTP-33,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 33.,critical,,
T6296,TTP-34,TTP,persistence,Adversaries may perform malicious activity related to TTP 34.,medium,,
CVE-2020-7647,CVE-35,CVE,execution,Critical vulnerability in software 35 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T3954,TTP-36,TTP,persistence,Adversaries may perform malicious activity related to TTP 36.,high,,
T2592,TTP-37,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 37.,medium,,
CVE-2022-3458,CVE-38,CVE,privilege-escalation,Critical vulnerability in software 38 allowing remote exploitation.,critical,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2025-6069,CVE-39,CVE,initial-access,Critical vulnerability in software 39 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T1122,TTP-40,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 40.,high,,
CVE-2025-2688,CVE-41,CVE,initial-access,Critical vulnerability in software 41 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2024-9024,CVE-42,CVE,execution,Critical vulnerability in software 42 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2025-8739,CVE-43,CVE,initial-access,Critical vulnerability in software 43 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-3518,CVE-44,CVE,initial-access,Critical vulnerability in software 44 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T3071,TTP-45,TTP,discovery,Adversaries may perform malicious activity related to TTP 45.,medium,,
CVE-2023-3622,CVE-46,CVE,execution,Critical vulnerability in software 46 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2024-2524,CVE-47,CVE,execution,Critical vulnerability in software 47 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T2129,TTP-48,TTP,discovery,Adversaries may perform malicious activity related to TTP 48.,critical,,
CVE-2024-5559,CVE-49,CVE,initial-access,Critical vulnerability in software 49 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-6305,CVE-50,CVE,privilege-escalation,Critical vulnerability in software 50 allowing remote exploitation.,high,7.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T4582,TTP-51,TTP,impact,Adversaries may perform malicious activity related to TTP 51.,medium,,
CVE-2024-1570,CVE-52,CVE,initial-access,Critical vulnerability in software 52 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2022-7904,CVE-53,CVE,privilege-escalation,Critical vulnerability in software 53 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2022-2599,CVE-54,CVE,initial-access,Critical vulnerability in software 54 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T7236,TTP-55,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 55.,critical,,
T2795,TTP-56,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 56.,critical,,
T7622,TTP-57,TTP,execution,Adversaries may perform malicious activity related to TTP 57.,critical,,
T2411,TTP-58,TTP,persistence,Adversaries may perform malicious activity related to TTP 58.,critical,,
T9207,TTP-59,TTP,discovery,Adversaries may perform malicious activity related to TTP 59.,high,,
T9701,TTP-60,TTP,execution,Adversaries may perform malicious activity related to TTP 60.,critical,,
T4584,TTP-61,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 61.,critical,,
T6810,TTP-62,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 62.,high,,
T7665,TTP-63,TTP,impact,Adversaries may perform malicious activity related to TTP 63.,critical,,
CVE-2022-7700,CVE-64,CVE,privilege-escalation,Critical vulnerability in software 64 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2020-6744,CVE-65,CVE,initial-access,Critical vulnerability in software 65 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T7216,TTP-66,TTP,impact,Adversaries may perform malicious activity related to TTP 66.,medium,,
T3405,TTP-67,TTP,discovery,Adversaries may perform malicious activity related to TTP 67.,medium,,
CVE-2020-2199,CVE-68,CVE,initial-access,Critical vulnerability in software 68 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-5017,CVE-69,CVE,execution,Critical vulnerability in software 69 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T9800,TTP-70,TTP,execution,Adversaries may perform malicious activity related to TTP 70.,critical,,
CVE-2025-1020,CVE-71,CVE,privilege-escalation,Critical vulnerability in software 71 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-9680,CVE-72,CVE,privilege-escalation,Critical vulnerability in software 72 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T4650,TTP-73,TTP,persistence,Adversaries may perform malicious activity related to TTP 73.,high,,
T6320,TTP-74,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 74.,medium,,
T9533,TTP-75,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 75.,high,,
CVE-2023-2315,CVE-76,CVE,privilege-escalation,Critical vulnerability in software 76 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T9128,TTP-77,TTP,impact,Adversaries may perform malicious activity related to TTP 77.,medium,,
CVE-2021-6035,CVE-78,CVE,execution,Critical vulnerability in software 78 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T5340,TTP-79,TTP,impact,Adversaries may perform malicious activity related to TTP 79.,medium,,
CVE-2025-5950,CVE-80,CVE,initial-access,Critical vulnerability in software 80 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T3417,TTP-81,TTP,impact,Adversaries may perform malicious activity related to TTP 81.,critical,,
CVE-2021-6482,CVE-82,CVE,privilege-escalation,Critical vulnerability in software 82 allowing remote exploitation.,high,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T7279,TTP-83,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 83.,critical,,
CVE-2022-7614,CVE-84,CVE,execution,Critical vulnerability in software 84 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2021-1135,CVE-85,CVE,privilege-escalation,Critical vulnerability in software 85 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2020-5019,CVE-86,CVE,privilege-escalation,Critical vulnerability in software 86 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T4341,TTP-87,TTP,impact,Adversaries may perform malicious activity related to TTP 87.,critical,,
T7448,TTP-88,TTP,persistence,Adversaries may perform malicious activity related to TTP 88.,medium,,
T2777,TTP-89,TTP,discovery,Adversaries may perform malicious activity related to TTP 89.,high,,
CVE-2020-7631,CVE-90,CVE,execution,Critical vulnerability in software 90 allowing remote exploitation.,high,7.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T8770,TTP-91,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 91.,high,,
CVE-2023-1891,CVE-92,CVE,privilege-escalation,Critical vulnerability in software 92 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T7995,TTP-93,TTP,impact,Adversaries may perform malicious activity related to TTP 93.,high,,
CVE-2023-3371,CVE-94,CVE,initial-access,Critical vulnerability in software 94 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T4042,TTP-95,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 95.,medium,,
T6181,TTP-96,TTP,persistence,Adversaries may perform malicious activity related to TTP 96.,critical,,
CVE-2022-5436,CVE-97,CVE,execution,Critical vulnerability in software 97 allowing remote exploitation.,critical,8.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2023-5049,CVE-98,CVE,privilege-escalation,Critical vulnerability in software 98 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-7169,CVE-99,CVE,initial-access,Critical vulnerability in software 99 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-3260,CVE-100,CVE,privilege-escalation,Critical vulnerability in software 100 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2023-7303,CVE-101,CVE,privilege-escalation,Critical vulnerability in software 101 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2023-4905,CVE-102,CVE,execution,Critical vulnerability in software 102 allowing remote exploitation.,high,7.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T1356,TTP-103,TTP,impact,Adversaries may perform malicious activity related to TTP 103.,high,,
T5349,TTP-104,TTP,execution,Adversaries may perform malicious activity related to TTP 104.,medium,,
CVE-2021-3787,CVE-105,CVE,execution,Critical vulnerability in software 105 allowing remote exploitation.,high,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-2745,CVE-106,CVE,execution,Critical vulnerability in software 106 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T5351,TTP-107,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 107.,medium,,
T8721,TTP-108,TTP,persistence,Adversaries may perform malicious activity related to TTP 108.,critical,,
CVE-2020-2617,CVE-109,CVE,execution,Critical vulnerability in software 109 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2021-2434,CVE-110,CVE,execution,Critical vulnerability in software 110 allowing remote exploitation.,critical,7.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T9840,TTP-111,TTP,discovery,Adversaries may perform malicious activity related to TTP 111.,medium,,
CVE-2025-2882,CVE-112,CVE,initial-access,Critical vulnerability in software 112 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-3244,CVE-113,CVE,privilege-escalation,Critical vulnerability in software 113 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2024-5712,CVE-114,CVE,initial-access,Critical vulnerability in software 114 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-5847,CVE-115,CVE,privilege-escalation,Critical vulnerability in software 115 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T3143,TTP-116,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 116.,medium,,
CVE-2020-6231,CVE-117,CVE,privilege-escalation,Critical vulnerability in software 117 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2022-6231,CVE-118,CVE,privilege-escalation,Critical vulnerability in software 118 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T5743,TTP-119,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 119.,high,,
CVE-2025-2429,CVE-120,CVE,initial-access,Critical vulnerability in software 120 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2023-3170,CVE-121,CVE,execution,Critical vulnerability in software 121 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-5713,CVE-122,CVE,initial-access,Critical vulnerability in software 122 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T4129,TTP-123,TTP,impact,Adversaries may perform malicious activity related to TTP 123.,high,,
CVE-2021-7138,CVE-124,CVE,execution,Critical vulnerability in software 124 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T5539,TTP-125,TTP,persistence,Adversaries may perform malicious activity related to TTP 125.,critical,,
T4116,TTP-126,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 126.,high,,
T2978,TTP-127,TTP,persistence,Adversaries may perform malicious activity related to TTP 127.,medium,,
CVE-2024-6389,CVE-128,CVE,execution,Critical vulnerability in software 128 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T2058,TTP-129,TTP,impact,Adversaries may perform malicious activity related to TTP 129.,high,,
T3500,TTP-130,TTP,execution,Adversaries may perform malicious activity related to TTP 130.,medium,,
CVE-2023-8879,CVE-131,CVE,execution,Critical vulnerability in software 131 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2023-2044,CVE-132,CVE,initial-access,Critical vulnerability in software 132 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2024-9979,CVE-133,CVE,privilege-escalation,Critical vulnerability in software 133 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T4395,TTP-134,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 134.,critical,,
T7343,TTP-135,TTP,persistence,Adversaries may perform malicious activity related to TTP 135.,high,,
T3272,TTP-136,TTP,impact,Adversaries may perform malicious activity related to TTP 136.,medium,,
T3544,TTP-137,TTP,persistence,Adversaries may perform malicious activity related to TTP 137.,high,,
T4089,TTP-138,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 138.,medium,,
T3263,TTP-139,TTP,impact,Adversaries may perform malicious activity related to TTP 139.,high,,
T2281,TTP-140,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 140.,critical,,
T7887,TTP-141,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 141.,critical,,
CVE-2022-1497,CVE-142,CVE,initial-access,Critical vulnerability in software 142 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2021-3546,CVE-143,CVE,initial-access,Critical vulnerability in software 143 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-8463,CVE-144,CVE,initial-access,Critical vulnerability in software 144 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T1039,TTP-145,TTP,persistence,Adversaries may perform malicious activity related to TTP 145.,medium,,
T1091,TTP-146,TTP,execution,Adversaries may perform malicious activity related to TTP 146.,critical,,
CVE-2025-8226,CVE-147,CVE,execution,Critical vulnerability in software 147 allowing remote exploitation.,high,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2021-6180,CVE-148,CVE,privilege-escalation,Critical vulnerability in software 148 allowing remote exploitation.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T5336,TTP-149,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 149.,critical,,
CVE-2021-1607,CVE-150,CVE,initial-access,Critical vulnerability in software 150 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2022-7382,CVE-151,CVE,initial-access,Critical vulnerability in software 151 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2021-9014,CVE-152,CVE,initial-access,Critical vulnerability in software 152 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2020-7617,CVE-153,CVE,initial-access,Critical vulnerability in software 153 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2020-2478,CVE-154,CVE,execution,Critical vulnerability in software 154 allowing remote exploitation.,critical,8.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T3630,TTP-155,TTP,persistence,Adversaries may perform malicious activity related to TTP 155.,high,,
T9822,TTP-156,TTP,impact,Adversaries may perform malicious activity related to TTP 156.,high,,
T3472,TTP-157,TTP,impact,Adversaries may perform malicious activity related to TTP 157.,high,,
CVE-2021-8760,CVE-158,CVE,execution,Critical vulnerability in software 158 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T1622,TTP-159,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 159.,high,,
T5665,TTP-160,TTP,persistence,Adversaries may perform malicious activity related to TTP 160.,critical,,
CVE-2025-3793,CVE-161,CVE,initial-access,Critical vulnerability in software 161 allowing remote exploitation.,critical,9.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T1068,TTP-162,TTP,execution,Adversaries may perform malicious activity related to TTP 162.,medium,,
T6798,TTP-163,TTP,execution,Adversaries may perform malicious activity related to TTP 163.,critical,,
T3270,TTP-164,TTP,persistence,Adversaries may perform malicious activity related to TTP 164.,high,,
CVE-2023-9293,CVE-165,CVE,privilege-escalation,Critical vulnerability in software 165 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T6122,TTP-166,TTP,persistence,Adversaries may perform malicious activity related to TTP 166.,high,,
CVE-2024-2828,CVE-167,CVE,privilege-escalation,Critical vulnerability in software 167 allowing remote exploitation.,high,7.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T4875,TTP-168,TTP,execution,Adversaries may perform malicious activity related to TTP 168.,high,,
T5317,TTP-169,TTP,discovery,Adversaries may perform malicious activity related to TTP 169.,medium,,
CVE-2021-6901,CVE-170,CVE,privilege-escalation,Critical vulnerability in software 170 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-2463,CVE-171,CVE,privilege-escalation,Critical vulnerability in software 171 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2020-3974,CVE-172,CVE,initial-access,Critical vulnerability in software 172 allowing remote exploitation.,high,10.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2023-7362,CVE-173,CVE,initial-access,Critical vulnerability in software 173 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2021-4016,CVE-174,CVE,initial-access,Critical vulnerability in software 174 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2023-4140,CVE-175,CVE,privilege-escalation,Critical vulnerability in software 175 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T3108,TTP-176,TTP,execution,Adversaries may perform malicious activity related to TTP 176.,medium,,
CVE-2024-8318,CVE-177,CVE,execution,Critical vulnerability in software 177 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2024-9947,CVE-178,CVE,initial-access,Critical vulnerability in software 178 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T7305,TTP-179,TTP,execution,Adversaries may perform malicious activity related to TTP 179.,high,,
CVE-2025-1138,CVE-180,CVE,execution,Critical vulnerability in software 180 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T6353,TTP-181,TTP,persistence,Adversaries may perform malicious activity related to TTP 181.,critical,,
T8289,TTP-182,TTP,discovery,Adversaries may perform malicious activity related to TTP 182.,high,,
T6603,TTP-183,TTP,impact,Adversaries may perform malicious activity related to TTP 183.,medium,,
CVE-2023-9048,CVE-184,CVE,initial-access,Critical vulnerability in software 184 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T8522,TTP-185,TTP,execution,Adversaries may perform malicious activity related to TTP 185.,high,,
T2512,TTP-186,TTP,impact,Adversaries may perform malicious activity related to TTP 186.,high,,
T6735,TTP-187,TTP,impact,Adversaries may perform malicious activity related to TTP 187.,high,,
T5251,TTP-188,TTP,impact,Adversaries may perform malicious activity related to TTP 188.,high,,
T1097,TTP-189,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 189.,high,,
T5553,TTP-190,TTP,impact,Adversaries may perform malicious activity related to TTP 190.,high,,
T7384,TTP-191,TTP,execution,Adversaries may perform malicious activity related to TTP 191.,medium,,
