source,target,type,impact_score,mitigation
T4227,IT-01332,TARGETS,0.92,Isoler IT-01332 et appliquer les correctifs pour T4227.
CVE-2020-6846,IT-03982,TARGETS,0.56,Isoler IT-03982 et appliquer les correctifs pour CVE-2020-6846.
CVE-2020-9732,IT-03876,TARGETS,0.61,Isoler IT-03876 et appliquer les correctifs pour CVE-2020-9732.
CVE-2020-4304,IT-05058,TARGETS,0.76,Isoler IT-05058 et appliquer les correctifs pour CVE-2020-4304.
T3122,IT-05395,TARGETS,0.91,Isoler IT-05395 et appliquer les correctifs pour T3122.
T2720,IT-03771,TARGETS,0.88,Isoler IT-03771 et appliquer les correctifs pour T2720.
CVE-2021-3526,IT-05307,TARGETS,0.81,Isoler IT-05307 et appliquer les correctifs pour CVE-2021-3526.
CVE-2024-4936,IT-06490,TARGETS,0.74,Isoler IT-06490 et appliquer les correctifs pour CVE-2024-4936.
T5970,IT-01138,TARGETS,0.59,Isoler IT-01138 et appliquer les correctifs pour T5970.
T7464,IT-02294,TARGETS,0.86,Isoler IT-02294 et appliquer les correctifs pour T7464.
CVE-2022-2441,IT-07208,TARGETS,0.8,Isoler IT-07208 et appliquer les correctifs pour CVE-2022-2441.
T6723,IT-00262,TARGETS,0.68,Isoler IT-00262 et appliquer les correctifs pour T6723.
CVE-2024-7220,IT-06357,TARGETS,0.8,Isoler IT-06357 et appliquer les correctifs pour CVE-2024-7220.
CVE-2023-5391,IT-09545,TARGETS,0.97,Isoler IT-09545 et appliquer les correctifs pour CVE-2023-5391.
T5682,IT-08092,TARGETS,0.95,Isoler IT-08092 et appliquer les correctifs pour T5682.
T2286,IT-05110,TARGETS,0.87,Isoler IT-05110 et appliquer les correctifs pour T2286.
T1588,IT-09161,TARGETS,0.65,Isoler IT-09161 et appliquer les correctifs pour T1588.
CVE-2020-2788,IT-05993,TARGETS,0.71,Isoler IT-05993 et appliquer les correctifs pour CVE-2020-2788.
CVE-2022-6809,IT-04727,TARGETS,0.63,Isoler IT-04727 et appliquer les correctifs pour CVE-2022-6809.
CVE-2023-7120,IT-00364,TARGETS,0.8,Isoler IT-00364 et appliquer les correctifs pour CVE-2023-7120.
CVE-2023-3486,IT-08548,TARGETS,1.0,Isoler IT-08548 et appliquer les correctifs pour CVE-2023-3486.
T2824,IT-04425,TARGETS,0.82,Isoler IT-04425 et appliquer les correctifs pour T2824.
T6262,IT-01866,TARGETS,0.83,Isoler IT-01866 et appliquer les correctifs pour T6262.
CVE-2022-9564,IT-08210,TARGETS,0.7,Isoler IT-08210 et appliquer les correctifs pour CVE-2022-9564.
T4227,IT-07437,TARGETS,0.93,Isoler IT-07437 et appliquer les correctifs pour T4227.
CVE-2022-5919,IT-04074,TARGETS,0.72,Isoler IT-04074 et appliquer les correctifs pour CVE-2022-5919.
CVE-2022-5832,IT-09470,TARGETS,0.95,Isoler IT-09470 et appliquer les correctifs pour CVE-2022-5832.
CVE-2020-7232,IT-06108,TARGETS,0.56,Isoler IT-06108 et appliquer les correctifs pour CVE-2020-7232.
T7181,IT-01460,TARGETS,0.53,Isoler IT-01460 et appliquer les correctifs pour T7181.
CVE-2021-21972,IT-01970,TARGETS,0.83,Isoler IT-01970 et appliquer les correctifs pour CVE-2021-21972.
T8561,IT-07528,TARGETS,0.64,Isoler IT-07528 et appliquer les correctifs pour T8561.
T7893,IT-02363,TARGETS,0.66,Isoler IT-02363 et appliquer les correctifs pour T7893.
T5207,IT-03628,TARGETS,0.96,Isoler IT-03628 et appliquer les correctifs pour T5207.
CVE-2024-5137,IT-06574,TARGETS,0.73,Isoler IT-06574 et appliquer les correctifs pour CVE-2024-5137.
CVE-2024-1244,IT-03830,TARGETS,0.57,Isoler IT-03830 et appliquer les correctifs pour CVE-2024-1244.
T7102,IT-09420,TARGETS,0.67,Isoler IT-09420 et appliquer les correctifs pour T7102.
CVE-2023-1066,IT-06015,TARGETS,0.51,Isoler IT-06015 et appliquer les correctifs pour CVE-2023-1066.
CVE-2024-6810,IT-09306,TARGETS,0.54,Isoler IT-09306 et appliquer les correctifs pour CVE-2024-6810.
T2697,IT-06810,TARGETS,0.82,Isoler IT-06810 et appliquer les correctifs pour T2697.
CVE-2020-2166,IT-03545,TARGETS,0.8,Isoler IT-03545 et appliquer les correctifs pour CVE-2020-2166.
T6323,IT-00662,TARGETS,0.95,Isoler IT-00662 et appliquer les correctifs pour T6323.
T7752,IT-01676,TARGETS,0.77,Isoler IT-01676 et appliquer les correctifs pour T7752.
CVE-2025-3374,IT-01160,TARGETS,0.98,Isoler IT-01160 et appliquer les correctifs pour CVE-2025-3374.
CVE-2021-7357,IT-03198,TARGETS,0.53,Isoler IT-03198 et appliquer les correctifs pour CVE-2021-7357.
CVE-2020-4957,IT-06195,TARGETS,0.54,Isoler IT-06195 et appliquer les correctifs pour CVE-2020-4957.
CVE-2021-1332,IT-00459,TARGETS,0.88,Isoler IT-00459 et appliquer les correctifs pour CVE-2021-1332.
T1686,IT-08769,TARGETS,0.65,Isoler IT-08769 et appliquer les correctifs pour T1686.
T2028,IT-08307,TARGETS,0.52,Isoler IT-08307 et appliquer les correctifs pour T2028.
T1992,IT-09606,TARGETS,0.79,Isoler IT-09606 et appliquer les correctifs pour T1992.
CVE-2021-2629,IT-08996,TARGETS,0.71,Isoler IT-08996 et appliquer les correctifs pour CVE-2021-2629.
CVE-2023-1352,IT-03746,TARGETS,0.62,Isoler IT-03746 et appliquer les correctifs pour CVE-2023-1352.
CVE-2022-7624,IT-07782,TARGETS,0.97,Isoler IT-07782 et appliquer les correctifs pour CVE-2022-7624.
CVE-2021-1332,IT-01086,TARGETS,0.7,Isoler IT-01086 et appliquer les correctifs pour CVE-2021-1332.
T3270,IT-06893,TARGETS,0.51,Isoler IT-06893 et appliquer les correctifs pour T3270.
T3929,IT-07152,TARGETS,0.51,Isoler IT-07152 et appliquer les correctifs pour T3929.
CVE-2023-2092,IT-04681,TARGETS,0.93,Isoler IT-04681 et appliquer les correctifs pour CVE-2023-2092.
T3699,IT-00358,TARGETS,0.54,Isoler IT-00358 et appliquer les correctifs pour T3699.
T5207,IT-05955,TARGETS,0.63,Isoler IT-05955 et appliquer les correctifs pour T5207.
CVE-2022-2687,IT-06604,TARGETS,0.76,Isoler IT-06604 et appliquer les correctifs pour CVE-2022-2687.
T6353,IT-01183,TARGETS,0.83,Isoler IT-01183 et appliquer les correctifs pour T6353.
T5340,IT-02083,TARGETS,0.86,Isoler IT-02083 et appliquer les correctifs pour T5340.
T1151,IT-04793,TARGETS,0.52,Isoler IT-04793 et appliquer les correctifs pour T1151.
T7038,IT-02055,TARGETS,0.96,Isoler IT-02055 et appliquer les correctifs pour T7038.
T5054,IT-04822,TARGETS,0.51,Isoler IT-04822 et appliquer les correctifs pour T5054.
CVE-2020-5223,IT-06988,TARGETS,0.55,Isoler IT-06988 et appliquer les correctifs pour CVE-2020-5223.
CVE-2022-2689,IT-03620,TARGETS,0.97,Isoler IT-03620 et appliquer les correctifs pour CVE-2022-2689.
CVE-2024-5159,IT-02544,TARGETS,0.51,Isoler IT-02544 et appliquer les correctifs pour CVE-2024-5159.
T3630,IT-00851,TARGETS,0.69,Isoler IT-00851 et appliquer les correctifs pour T3630.
T4710,IT-05685,TARGETS,0.5,Isoler IT-05685 et appliquer les correctifs pour T4710.
T2688,IT-09879,TARGETS,0.85,Isoler IT-09879 et appliquer les correctifs pour T2688.
CVE-2021-2920,IT-00163,TARGETS,0.89,Isoler IT-00163 et appliquer les correctifs pour CVE-2021-2920.
T4310,IT-09896,TARGETS,0.64,Isoler IT-09896 et appliquer les correctifs pour T4310.
CVE-2024-6111,IT-05372,TARGETS,0.75,Isoler IT-05372 et appliquer les correctifs pour CVE-2024-6111.
T2893,IT-04353,TARGETS,0.55,Isoler IT-04353 et appliquer les correctifs pour T2893.
CVE-2020-5019,IT-07766,TARGETS,0.54,Isoler IT-07766 et appliquer les correctifs pour CVE-2020-5019.
T4012,IT-06179,TARGETS,0.53,Isoler IT-06179 et appliquer les correctifs pour T4012.
CVE-2020-5534,IT-07147,TARGETS,0.58,Isoler IT-07147 et appliquer les correctifs pour CVE-2020-5534.
T7144,IT-01039,TARGETS,0.61,Isoler IT-01039 et appliquer les correctifs pour T7144.
T4130,IT-02898,TARGETS,0.72,Isoler IT-02898 et appliquer les correctifs pour T4130.
CVE-2025-8643,IT-00059,TARGETS,0.85,Isoler IT-00059 et appliquer les correctifs pour CVE-2025-8643.
T4195,IT-08691,TARGETS,0.8,Isoler IT-08691 et appliquer les correctifs pour T4195.
T5625,IT-00503,TARGETS,0.99,Isoler IT-00503 et appliquer les correctifs pour T5625.
T7843,IT-07889,TARGETS,0.81,Isoler IT-07889 et appliquer les correctifs pour T7843.
T1615,IT-00048,TARGETS,0.58,Isoler IT-00048 et appliquer les correctifs pour T1615.
T3619,IT-03022,TARGETS,0.76,Isoler IT-03022 et appliquer les correctifs pour T3619.
CVE-2022-7382,IT-03883,TARGETS,0.73,Isoler IT-03883 et appliquer les correctifs pour CVE-2022-7382.
CVE-2025-7387,IT-02851,TARGETS,0.66,Isoler IT-02851 et appliquer les correctifs pour CVE-2025-7387.
CVE-2024-9225,IT-02662,TARGETS,0.51,Isoler IT-02662 et appliquer les correctifs pour CVE-2024-9225.
CVE-2024-6779,IT-02013,TARGETS,0.67,Isoler IT-02013 et appliquer les correctifs pour CVE-2024-6779.
T7055,IT-08037,TARGETS,0.84,Isoler IT-08037 et appliquer les correctifs pour T7055.
T6099,IT-05910,TARGETS,0.58,Isoler IT-05910 et appliquer les correctifs pour T6099.
T6486,IT-01661,TARGETS,0.99,Isoler IT-01661 et appliquer les correctifs pour T6486.
T6088,IT-08244,TARGETS,0.93,Isoler IT-08244 et appliquer les correctifs pour T6088.
T8856,IT-08995,TARGETS,0.67,Isoler IT-08995 et appliquer les correctifs pour T8856.
CVE-2020-4013,IT-06297,TARGETS,0.65,Isoler IT-06297 et appliquer les correctifs pour CVE-2020-4013.
T3029,IT-07724,TARGETS,0.57,Isoler IT-07724 et appliquer les correctifs pour T3029.
CVE-2022-7614,IT-08431,TARGETS,0.92,Isoler IT-08431 et appliquer les correctifs pour CVE-2022-7614.
CVE-2022-6231,IT-07490,TARGETS,0.56,Isoler IT-07490 et appliquer les correctifs pour CVE-2022-6231.
CVE-2025-7941,IT-00121,TARGETS,0.7,Isoler IT-00121 et appliquer les correctifs pour CVE-2025-7941.
CVE-2020-7538,IT-09592,TARGETS,0.77,Isoler IT-09592 et appliquer les correctifs pour CVE-2020-7538.
CVE-2021-9005,IT-07096,TARGETS,0.97,Isoler IT-07096 et appliquer les correctifs pour CVE-2021-9005.
T1053,IT-08027,TARGETS,0.96,Isoler IT-08027 et appliquer les correctifs pour T1053.
CVE-2020-8208,IT-02443,TARGETS,0.85,Isoler IT-02443 et appliquer les correctifs pour CVE-2020-8208.
T1356,IT-05152,TARGETS,0.72,Isoler IT-05152 et appliquer les correctifs pour T1356.
CVE-2025-6563,IT-03936,TARGETS,0.56,Isoler IT-03936 et appliquer les correctifs pour CVE-2025-6563.
T6140,IT-06273,TARGETS,0.88,Isoler IT-06273 et appliquer les correctifs pour T6140.
T3706,IT-04101,TARGETS,0.61,Isoler IT-04101 et appliquer les correctifs pour T3706.
CVE-2025-7179,IT-08248,TARGETS,0.95,Isoler IT-08248 et appliquer les correctifs pour CVE-2025-7179.
T3851,IT-03511,TARGETS,0.59,Isoler IT-03511 et appliquer les correctifs pour T3851.
CVE-2025-8793,IT-02690,TARGETS,0.55,Isoler IT-02690 et appliquer les correctifs pour CVE-2025-8793.
T3485,IT-09142,TARGETS,0.9,Isoler IT-09142 et appliquer les correctifs pour T3485.
CVE-2021-8018,IT-09881,TARGETS,0.64,Isoler IT-09881 et appliquer les correctifs pour CVE-2021-8018.
CVE-2022-2689,IT-00496,TARGETS,0.79,Isoler IT-00496 et appliquer les correctifs pour CVE-2022-2689.
T3108,IT-06328,TARGETS,0.88,Isoler IT-06328 et appliquer les correctifs pour T3108.
T8493,IT-09537,TARGETS,0.98,Isoler IT-09537 et appliquer les correctifs pour T8493.
CVE-2024-5205,IT-08993,TARGETS,0.95,Isoler IT-08993 et appliquer les correctifs pour CVE-2024-5205.
T3954,IT-06709,TARGETS,0.63,Isoler IT-06709 et appliquer les correctifs pour T3954.
T2482,IT-01354,TARGETS,0.7,Isoler IT-01354 et appliquer les correctifs pour T2482.
CVE-2022-3817,IT-08679,TARGETS,0.73,Isoler IT-08679 et appliquer les correctifs pour CVE-2022-3817.
CVE-2023-3578,IT-00866,TARGETS,0.66,Isoler IT-00866 et appliquer les correctifs pour CVE-2023-3578.
T4116,IT-06327,TARGETS,0.64,Isoler IT-06327 et appliquer les correctifs pour T4116.
T9770,IT-02028,TARGETS,0.64,Isoler IT-02028 et appliquer les correctifs pour T9770.
CVE-2020-9688,IT-06038,TARGETS,0.77,Isoler IT-06038 et appliquer les correctifs pour CVE-2020-9688.
T8746,IT-05424,TARGETS,0.85,Isoler IT-05424 et appliquer les correctifs pour T8746.
CVE-2025-4559,IT-00182,TARGETS,0.88,Isoler IT-00182 et appliquer les correctifs pour CVE-2025-4559.
T1796,IT-09985,TARGETS,0.87,Isoler IT-09985 et appliquer les correctifs pour T1796.
T5599,IT-06764,TARGETS,0.5,Isoler IT-06764 et appliquer les correctifs pour T5599.
CVE-2020-7610,IT-05056,TARGETS,0.97,Isoler IT-05056 et appliquer les correctifs pour CVE-2020-7610.
CVE-2024-6334,IT-06760,TARGETS,0.79,Isoler IT-06760 et appliquer les correctifs pour CVE-2024-6334.
T1585,IT-06743,TARGETS,0.88,Isoler IT-06743 et appliquer les correctifs pour T1585.
CVE-2025-8887,IT-09983,TARGETS,0.74,Isoler IT-09983 et appliquer les correctifs pour CVE-2025-8887.
CVE-2021-7559,IT-04065,TARGETS,0.75,Isoler IT-04065 et appliquer les correctifs pour CVE-2021-7559.
CVE-2022-8843,IT-02316,TARGETS,0.86,Isoler IT-02316 et appliquer les correctifs pour CVE-2022-8843.
T2734,IT-02076,TARGETS,0.64,Isoler IT-02076 et appliquer les correctifs pour T2734.
T9813,IT-02640,TARGETS,0.96,Isoler IT-02640 et appliquer les correctifs pour T9813.
CVE-2021-5946,IT-05104,TARGETS,0.6,Isoler IT-05104 et appliquer les correctifs pour CVE-2021-5946.
CVE-2020-2901,IT-08677,TARGETS,0.91,Isoler IT-08677 et appliquer les correctifs pour CVE-2020-2901.
CVE-2022-7614,IT-05804,TARGETS,0.98,Isoler IT-05804 et appliquer les correctifs pour CVE-2022-7614.
T5035,IT-01622,TARGETS,0.8,Isoler IT-01622 et appliquer les correctifs pour T5035.
CVE-2024-9413,IT-03054,TARGETS,0.54,Isoler IT-03054 et appliquer les correctifs pour CVE-2024-9413.
CVE-2021-7561,IT-05856,TARGETS,0.79,Isoler IT-05856 et appliquer les correctifs pour CVE-2021-7561.
T2875,IT-05059,TARGETS,0.8,Isoler IT-05059 et appliquer les correctifs pour T2875.
CVE-2022-1760,IT-04964,TARGETS,0.53,Isoler IT-04964 et appliquer les correctifs pour CVE-2022-1760.
T4875,IT-09301,TARGETS,0.86,Isoler IT-09301 et appliquer les correctifs pour T4875.
CVE-2022-2281,IT-00359,TARGETS,0.62,Isoler IT-00359 et appliquer les correctifs pour CVE-2022-2281.
CVE-2020-7509,IT-03956,TARGETS,0.56,Isoler IT-03956 et appliquer les correctifs pour CVE-2020-7509.
T9638,IT-01035,TARGETS,0.78,Isoler IT-01035 et appliquer les correctifs pour T9638.
CVE-2023-4189,IT-07785,TARGETS,0.62,Isoler IT-07785 et appliquer les correctifs pour CVE-2023-4189.
T4513,IT-09156,TARGETS,0.98,Isoler IT-09156 et appliquer les correctifs pour T4513.
CVE-2022-7470,IT-04269,TARGETS,0.94,Isoler IT-04269 et appliquer les correctifs pour CVE-2022-7470.
T4306,IT-04557,TARGETS,0.55,Isoler IT-04557 et appliquer les correctifs pour T4306.
T6122,IT-02535,TARGETS,0.73,Isoler IT-02535 et appliquer les correctifs pour T6122.
T1277,IT-05823,TARGETS,0.93,Isoler IT-05823 et appliquer les correctifs pour T1277.
T4321,IT-08192,TARGETS,0.52,Isoler IT-08192 et appliquer les correctifs pour T4321.
T6868,IT-01411,TARGETS,0.5,Isoler IT-01411 et appliquer les correctifs pour T6868.
T7514,IT-04639,TARGETS,0.97,Isoler IT-04639 et appliquer les correctifs pour T7514.
CVE-2020-5591,IT-00382,TARGETS,0.64,Isoler IT-00382 et appliquer les correctifs pour CVE-2020-5591.
T7665,IT-01711,TARGETS,0.87,Isoler IT-01711 et appliquer les correctifs pour T7665.
T3619,IT-06561,TARGETS,0.68,Isoler IT-06561 et appliquer les correctifs pour T3619.
T1800,IT-08135,TARGETS,0.96,Isoler IT-08135 et appliquer les correctifs pour T1800.
T8542,IT-00207,TARGETS,0.73,Isoler IT-00207 et appliquer les correctifs pour T8542.
T7663,IT-01439,TARGETS,0.64,Isoler IT-01439 et appliquer les correctifs pour T7663.
T3645,IT-03734,TARGETS,0.62,Isoler IT-03734 et appliquer les correctifs pour T3645.
T1287,IT-07404,TARGETS,0.7,Isoler IT-07404 et appliquer les correctifs pour T1287.
CVE-2025-9804,IT-01517,TARGETS,0.72,Isoler IT-01517 et appliquer les correctifs pour CVE-2025-9804.
CVE-2025-2882,IT-06648,TARGETS,0.51,Isoler IT-06648 et appliquer les correctifs pour CVE-2025-2882.
CVE-2021-8045,IT-08592,TARGETS,0.59,Isoler IT-08592 et appliquer les correctifs pour CVE-2021-8045.
T2954,IT-06641,TARGETS,0.78,Isoler IT-06641 et appliquer les correctifs pour T2954.
T1992,IT-08939,TARGETS,0.82,Isoler IT-08939 et appliquer les correctifs pour T1992.
T3108,IT-04454,TARGETS,0.9,Isoler IT-04454 et appliquer les correctifs pour T3108.
CVE-2021-1435,IT-04920,TARGETS,0.59,Isoler IT-04920 et appliquer les correctifs pour CVE-2021-1435.
T3360,IT-03061,TARGETS,0.65,Isoler IT-03061 et appliquer les correctifs pour T3360.
T7630,IT-06587,TARGETS,0.59,Isoler IT-06587 et appliquer les correctifs pour T7630.
T6927,IT-02770,TARGETS,0.59,Isoler IT-02770 et appliquer les correctifs pour T6927.
T2949,IT-01347,TARGETS,0.58,Isoler IT-01347 et appliquer les correctifs pour T2949.
T6353,IT-00732,TARGETS,0.73,Isoler IT-00732 et appliquer les correctifs pour T6353.
T3417,IT-02155,TARGETS,0.71,Isoler IT-02155 et appliquer les correctifs pour T3417.
CVE-2021-5432,IT-01884,TARGETS,0.98,Isoler IT-01884 et appliquer les correctifs pour CVE-2021-5432.
T8815,IT-07475,TARGETS,0.58,Isoler IT-07475 et appliquer les correctifs pour T8815.
CVE-2024-6210,IT-00167,TARGETS,0.78,Isoler IT-00167 et appliquer les correctifs pour CVE-2024-6210.
T1756,IT-06183,TARGETS,0.7,Isoler IT-06183 et appliquer les correctifs pour T1756.
T2777,IT-06267,TARGETS,0.98,Isoler IT-06267 et appliquer les correctifs pour T2777.
T6851,IT-00570,TARGETS,0.63,Isoler IT-00570 et appliquer les correctifs pour T6851.
T3272,IT-03025,TARGETS,0.7,Isoler IT-03025 et appliquer les correctifs pour T3272.
T4811,IT-07510,TARGETS,0.54,Isoler IT-07510 et appliquer les correctifs pour T4811.
